table_name,expected_unit,expected_rows,observed_rows,completeness_status,source_doc_id_coverage,validation_status,notes
elections.csv,2025 election row,1,1,complete,none,pass,one 2025 election metadata row
source_documents.csv,2025 source document,21,21,complete,21 registered 2025 source_doc_id(s),pass,2025 Comune/Maggioli source registry rows
mayor_candidates.csv,candidate sindaco,3,3,complete,1 source_doc_id(s): maggioli_2025_totals_mayor_xml,pass,3 candidates from Maggioli 2025
lists.csv,lista,14,14,complete,1 source_doc_id(s): maggioli_2025_totals_mayor_xml,pass,14 lists from Maggioli 2025
council_candidates.csv,candidate consigliere,330,330,complete,"14 source_doc_id(s): maggioli_2025_preferences_section_l01_xml, maggioli_2025_preferences_section_l02_xml, maggioli_2025_preferences_section_l03_xml, maggioli_2025_preferences_section_l04_xml, maggioli_2025_preferences_section_l05_xml, maggioli_2025_preferences_section_l06_xml, maggioli_2025_preferences_section_l07_xml, maggioli_2025_preferences_section_l08_xml, maggioli_2025_preferences_section_l09_xml, maggioli_2025_preferences_section_l10_xml, maggioli_2025_preferences_section_l11_xml, maggioli_2025_preferences_section_l12_xml, maggioli_2025_preferences_section_l13_xml, maggioli_2025_preferences_section_l14_xml",pass,330 council candidates across 14 lists
sections.csv,sezione,78,78,complete,1 source_doc_id(s): maggioli_2025_sections_mayor_xml,pass,one row per electoral section
turnout_section.csv,sezione,78,78,complete,1 source_doc_id(s): maggioli_2025_sections_mayor_xml,pass,one turnout row per section
votes_mayor_section.csv,sezione/candidato sindaco,234,234,complete,1 source_doc_id(s): maggioli_2025_sections_mayor_xml,pass,one row for each section and mayor candidate
votes_list_section.csv,sezione/lista,1092,1092,complete,1 source_doc_id(s): maggioli_2025_sections_lists_xml,pass,one row for each section and list
preferences_section.csv,sezione/lista/candidato consigliere,25740,25740,complete,"14 source_doc_id(s): maggioli_2025_preferences_section_l01_xml, maggioli_2025_preferences_section_l02_xml, maggioli_2025_preferences_section_l03_xml, maggioli_2025_preferences_section_l04_xml, maggioli_2025_preferences_section_l05_xml, maggioli_2025_preferences_section_l06_xml, maggioli_2025_preferences_section_l07_xml, maggioli_2025_preferences_section_l08_xml, maggioli_2025_preferences_section_l09_xml, maggioli_2025_preferences_section_l10_xml, maggioli_2025_preferences_section_l11_xml, maggioli_2025_preferences_section_l12_xml, maggioli_2025_preferences_section_l13_xml, maggioli_2025_preferences_section_l14_xml",pass,one row for each section and council candidate
